Category,Value,Staff Count,Attrition Count,Attrition Rate,,Category,Value,Staff Count,Attrition Count,Attrition Rate,
All,All,1470,237,16,,Education,Below College,170,31,18,
,,,,,,Education,Bachelor,572,99,17,
Category,Value,Staff Count,Attrition Count,Attrition Rate,,Education,College,282,44,16,
Gender,Male,882,150,17,,Education,Masters,398,58,15,
Gender,Female,588,87,15,,Education,Doctor,48,5,10,
,,,,,,,,,,,
Category,Value,Staff Count,Attrition Count,Attrition Rate,,Category,Value,Staff Count,Attrition Count,Attrition Rate,
Department,Sales,446,92,21,,Job SatisfactionBins,Low,289,66,23,
Department,Human Resources,63,12,19,,Job SatisfactionBins,Medium,281,47,17,
Department,Research & Development,961,133,14,,Job SatisfactionBins,High,442,72,16,
,,,,,,Job SatisfactionBins,Very High,458,52,11,
Category,Value,Staff Count,Attrition Count,Attrition Rate,,,,,,,
Job Role,Sales Representative,83,33,40,,Category,Value,Staff Count,Attrition Count,Attrition Rate,
Job Role,Laboratory Technician,259,62,24,,Work Life Balance,Bad,80,25,31,
Job Role,Human Resources,52,12,23,,Work Life Balance,Best,153,27,18,
Job Role,Sales Executive,326,57,17,,Work Life Balance,Good,344,58,17,
Job Role,Research Scientist,292,47,16,,Work Life Balance,Better,893,127,14,
Job Role,Healthcare Representative,131,9,7,,,,,,,
Job Role,Manufacturing Director,145,10,7,,Category,Value,Staff Count,Attrition Count,Attrition Rate,
Job Role,Manager,102,5,5,,Overtime,Yes,416,127,31,
Job Role,Research Director,80,2,3,,Overtime,No,1054,110,10,
,,,,,,,,,,,
Category,Value,Staff Count,Attrition Count,Attrition Rate,,,,,,,
Business Travel,Travel_Frequently,277,69,25,,,,,,,
Business Travel,Travel_Rarely,1043,156,15,,,,,,,
Business Travel,Non-Travel,150,12,8,,,,,,,
,,,,,,,,,,,
Category,Value,Staff Count,Attrition Count,Attrition Rate,,,,,,,
Education Field,Human Resources,27,7,26,,,,,,,
Education Field,Technical Degree,132,32,24,,,,,,,
Education Field,Marketing,159,35,22,,,,,,,
Education Field,Life Sciences,606,89,15,,,,,,,
Education Field,Medical,464,63,14,,,,,,,
Education Field,Other,82,11,13,,,,,,,
,,,,,,,,,,,
Category,Value,Staff Count,Attrition Count,Attrition Rate,,,,,,,
Monthly Income,0-3K,393,112,28,,,,,,,
Monthly Income,8K-12K,185,29,16,,,,,,,
Monthly Income,3K-5K,354,50,14,,,,,,,
Monthly Income,5K-8K,342,35,10,,,,,,,
Monthly Income,12K+,196,11,6,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
