EmpId,Attrition,Department
100001,Yes,Sales
100002,No,Research & Development
100003,Yes,Research & Development
100004,No,Research & Development
100005,No,Research & Development
100006,No,Research & Development
100007,No,Research & Development
100008,No,Research & Development
100009,No,Research & Development
100010,No,Research & Development
100011,No,Research & Development
100012,No,Research & Development
100013,No,Research & Development
100014,No,Research & Development
100015,Yes,Research & Development
100016,No,Research & Development
100017,No,Research & Development
100018,No,Research & Development
100019,No,Sales
100020,No,Research & Development
100021,No,Research & Development
100022,Yes,Sales
100023,No,Research & Development
100024,No,Research & Development
100025,Yes,Research & Development
100026,No,Research & Development
100027,Yes,Research & Development
100028,No,Sales
100029,No,Research & Development
100030,No,Sales
100031,No,Research & Development
100032,No,Research & Development
100033,No,Research & Development
100034,Yes,Sales
100035,Yes,Research & Development
100036,No,Research & Development
100037,Yes,Sales
100038,No,Sales
100039,No,Research & Development
100040,No,Sales
100041,No,Research & Development
100042,No,Research & Development
100043,Yes,Research & Development
100044,No,Sales
100045,No,Research & Development
100046,Yes,Research & Development
100047,No,Sales
100048,No,Research & Development
100049,No,Sales
100050,No,Research & Development
100051,Yes,Research & Development
100052,Yes,Research & Development
100053,No,Sales
100054,No,Research & Development
100055,No,Sales
100056,No,Research & Development
100057,No,Sales
100058,No,Research & Development
100059,No,Research & Development
100060,No,Research & Development
100061,No,Research & Development
100062,No,Research & Development
100063,No,Research & Development
100064,No,Sales
100065,No,Research & Development
100066,No,Research & Development
100067,No,Research & Development
100068,No,Research & Development
100069,No,Research & Development
100070,Yes,Research & Development
100071,No,Sales
100072,No,Research & Development
100073,No,Research & Development
100074,No,Research & Development
100075,No,Research & Development
100076,No,Research & Development
100077,No,Sales
100078,No,Research & Development
100079,No,Research & Development
100080,No,Human Resources
100081,No,Research & Development
100082,No,Research & Development
100083,No,Sales
100084,No,Research & Development
100085,No,Research & Development
100086,No,Research & Development
100087,No,Sales
100088,No,Research & Development
100089,No,Research & Development
100090,Yes,Sales
100091,No,Research & Development
100092,No,Sales
100093,No,Sales
100094,No,Research & Development
100095,No,Sales
100096,No,Research & Development
100097,No,Sales
100098,No,Sales
100099,No,Sales
100100,No,Research & Development
100101,Yes,Human Resources
100102,No,Research & Development
100103,Yes,Research & Development
100104,No,Research & Development
100105,No,Research & Development
100106,No,Human Resources
100107,No,Research & Development
100108,Yes,Sales
100109,No,Research & Development
100110,No,Research & Development
100111,No,Research & Development
100112,Yes,Research & Development
100113,No,Human Resources
100114,No,Research & Development
100115,No,Research & Development
100116,No,Sales
100117,No,Research & Development
100118,No,Sales
100119,No,Research & Development
100120,No,Sales
100121,No,Research & Development
100122,No,Sales
100123,Yes,Research & Development
100124,No,Research & Development
100125,Yes,Sales
100126,No,Research & Development
100127,Yes,Research & Development
100128,Yes,Sales
100129,No,Research & Development
100130,No,Research & Development
100131,No,Research & Development
100132,No,Sales
100133,Yes,Sales
100134,No,Sales
100135,No,Human Resources
100136,No,Research & Development
100137,Yes,Research & Development
100138,No,Sales
100139,No,Sales
100140,No,Human Resources
100141,Yes,Research & Development
100142,No,Research & Development
100143,No,Research & Development
100144,No,Research & Development
100145,No,Sales
100146,No,Research & Development
100147,No,Research & Development
100148,No,Research & Development
100149,No,Research & Development
100150,No,Research & Development
100151,No,Research & Development
100152,No,Sales
100153,No,Sales
100154,No,Research & Development
100155,No,Sales
100156,No,Research & Development
100157,No,Research & Development
100158,No,Research & Development
100159,No,Sales
100160,No,Sales
