EmpId,StandardHours,HourlyRate,MonthlyIncome,PercentSalaryHike,StockOptionLevel
100001,200,30,5993,11,0
100002,200,26,5130,23,1
100003,200,10,2090,15,0
100004,200,15,2909,11,0
100005,200,17,3468,12,1
100006,200,15,3068,13,0
100007,200,13,2670,20,3
100008,200,13,2693,22,1
100009,200,48,9526,21,0
100010,200,26,5237,13,2
100011,200,12,2426,13,1
100012,200,21,4193,12,0
100013,200,15,2911,17,1
100014,200,13,2661,11,1
100015,200,, ,14,0
100016,200,50,9980,11,1
100017,200,16,3298,12,2
100018,200,15,2935,13,2
100019,200,77,154270,16,0
100020,200,20,3944,11,0
100021,200,20,4011,18,1
100022,200,17,3407,23,0
100023,200,60,119940,11,0
100024,200,6,1232,14,0
100025,200,15,2960,11,0
100026,200,95,19094,11,1
100027,200,20,3919,22,0
100028,200,34,6825,11,1
100029,200,51,10248,14,1
100030,200,95,18947,12,0
100031,200,12,2496,11,0
100032,200,32,6465,13,0
100033,200,11,2206,13,0
100034,200,10,2086,14,1
100035,200,11,2293,16,1
100036,200,13,2645,12,2
100037,200,13,2683,14,0
100038,200,, ,13,0
100039,200,17,3419,14,1
100040,200,27,5376,19,2
100041,200,10,1951,12,1
100042,200,12,2341,13,1
100043,200,11,2293,12,0
100044,200,44,8726,15,0
100045,200,20,4011,23,0
100046,200,98,19545,12,0
100047,200,23,4568,20,0
100048,200,15,3022,21,0
100049,200,29,5772,21,0
100050,200,11,2269,19,0
100051,200,27,5381,13,0
100052,200,17,3441,13,0
100053,200,27,5454,21,1
100054,200,49,9884,13,1
100055,200,21,4157,19,1
100056,200,67,13458,12,0
100057,200,45,9069,22,1
100058,200,20,4014,15,1
100059,200,30,5915,22,1
100060,200,30,5993,18,1
100061,200,31,6162,22,1
100062,200,12,2406,11,0
100063,200,94,18740,12,1
100064,200,38,7637,11,0
100065,200,50,10096,13,3
100066,200,74,14756,14,3
100067,200,32,6499,13,0
100068,200,49,9724,17,1
100069,200,11,2194,13,1
100070,200,17,3388,17,1
100071,200,27,5473,11,0
100072,200,14,2703,23,1
100073,200,13,2501,17,0
100074,200,31,6220,17,2
100075,200,15,3038,12,0
100076,200,22,4424,23,0
100077,200,22,4312,14,0
100078,200,66,13245,14,0
100079,200,68,13664,13,0
100080,200,25,5021,22,1
100081,200,26,5126,12,2
100082,200,14,2859,18,0
100083,200,51,10239,14,1
100084,200,27,5329,12,3
100085,200,22,4325,15,0
100086,200,36,7260,11,0
100087,200,12,2322,13,1
100088,200,10,2075,23,2
100089,200,21,4152,19,3
100090,200,48,9619,16,0
100091,200,68,13503,22,1
100092,200,27,5441,22,0
100093,200,26,5209,12,3
100094,200,53,10673,13,1
100095,200,25,5010,16,0
100096,200,68,13549,12,1
100097,200,25,4999,21,1
100098,200,21,4221,15,0
100099,200,69,13872,13,0
100100,200,10,2042,12,1
100101,200,10,2073,22,0
100102,200,15,2956,13,0
100103,200,15,2926,18,0
100104,200,24,4809,14,0
100105,200,26,5163,14,1
100106,200,94,18844,21,1
100107,200,91,18172,19,0
100108,200,29,5744,11,0
100109,200,14,2889,11,2
100110,200,14,2871,15,0
100111,200,37,7484,20,0
100112,200,30,6074,24,0
100113,200,87,17328,12,0
100114,200,14,2774,12,1
100115,200,23,4505,15,1
100116,200,37,7428,12,0
100117,200,58,11631,12,0
100118,200,49,9738,14,1
100119,200,14,2835,22,1
100120,200,85,16959,12,2
100121,200,13,2613,25,3
100122,200,31,6146,13,1
100123,200,25,4963,18,3
100124,200,98,19537,13,0
100125,200,31,6172,18,0
100126,200,12,2368,19,0
100127,200,52,10312,12,1
100128,200,8,1675,19,0
100129,200,13,2523,14,1
100130,200,33,6567,14,0
100131,200,24,4739,12,0
100132,200,46,9208,11,0
100133,200,23,4559,11,1
100134,200,41,8189,13,1
100135,200,15,2942,23,1
100136,200,25,4941,20,2
100137,200,53,10650,15,0
100138,200,30,5902,14,1
100139,200,43,8639,18,0
100140,200,32,6347,19,0
100141,200,21,4200,22,0
100142,200,17,3452,13,0
100143,200,22,4317,20,0
100144,200,13,2632,14,0
100145,200,23,4668,17,3
100146,200,16,3204,14,1
100147,200,14,2720,13,0
100148,200,86,17181,13,1
100149,200,11,2238,21,1
