EmpId,BusinessTravel,Department,JobLevel,JobRole,JobSatisfaction,NumCompaniesWorked,PerformanceRating,StandardHours,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverTime
100001,Travel_Rarely,Sales,2,Sales Executive,4,8,3,200,8,0,1,6,4,0,5,Yes
100002,Travel_Frequently,Research & Development,2,Research Scientist,2,1,4,200,10,3,3,10,7,1,7,No
100003,Travel_Rarely,Research & Development,1,Laboratory Technician,3,6,3,200,7,3,3,0,0,0,0,Yes
100004,Travel_Frequently,Research & Development,1,Research Scientist,3,1,3,200,8,3,3,8,7,3,0,Yes
100005,Travel_Rarely,Research & Development,1,Laboratory Technician,2,9,3,200,6,3,3,2,2,2,2,No
100006,Travel_Frequently,Research & Development,1,Laboratory Technician,4,0,3,200,8,2,2,7,7,3,6,No
100007,Travel_Rarely,Research & Development,1,Laboratory Technician,1,4,4,200,12,3,2,1,0,0,0,Yes
100008,Travel_Rarely,Research & Development,1,Laboratory Technician,3,1,4,200,1,2,3,1,0,0,0,No
100009,Travel_Frequently,Research & Development,3,Manufacturing Director,3,0,4,200,10,2,3,9,7,1,8,No
100010,Travel_Rarely,Research & Development,2,Healthcare Representative,3,6,3,200,17,3,2,7,7,7,7,No
100011,Travel_Rarely,Research & Development,1,Laboratory Technician,2,0,3,200,6,5,3,5,4,0,3,No
100012,Travel_Rarely,Research & Development,2,Laboratory Technician,3,0,3,200,10,3,3,9,5,0,8,Yes
100012,Travel_Rarely,Research & Development,2,Laboratory Technician,4,0,3,200,10,3,3,9,5,0,8,Yes
100013,Travel_Rarely,Research & Development,1,Research Scientist,3,1,3,200,5,1,2,5,2,4,3,No
100014,Travel_Rarely,Research & Development,1,Laboratory Technician,4,0,3,200,3,2,3,2,2,1,2,No
100015,Travel_Rarely,Research & Development,1,Laboratory Technician,3,5,3,200,6,4,3,4,2,0,3,Yes
100016,Travel_Rarely,Research & Development,3,Manufacturing Director,1,1,3,200,10,1,3,10,9,8,8,No
100017,Travel_Rarely,Research & Development,1,Research Scientist,2,0,3,200,7,5,2,6,2,0,5,Yes
100018,Non-Travel,Research & Development,1,Laboratory Technician,4,1,3,200,1,2,2,1,0,0,0,Yes
100018,Non-Travel,Research & Development,1,Laboratory Technician,3,1,3,200,1,2,2,1,0,0,0,Yes
100019,Travel_Rarely,Sales,4,Manager,4,2,3,200,31,3,3,25,8,3,7,No
100020,Travel_Rarely,Research & Development,1,Research Scientist,4,5,3,200,6,3,3,3,2,1,2,Yes
100021,Non-Travel,Research & Development,2,Manufacturing Director,3,0,3,200,5,5,2,4,2,1,3,No
100022,Travel_Rarely,Sales,1,Sales Representative,1,7,4,200,10,4,3,5,3,0,3,No
100023,Travel_Rarely,Research & Development,3,Research Director,2,0,3,200,13,4,3,12,6,2,11,No
100024,Travel_Rarely,Research & Development,1,Research Scientist,4,1,3,200,0,6,3,0,0,0,0,No
100025,Travel_Rarely,Research & Development,1,Research Scientist,1,2,1,200,8,2,3,4,2,1,3,No
100026,Travel_Rarely,Research & Development,5,Manager,3,4,3,200,26,3,2,14,13,4,8,No
100027,Travel_Frequently,Research & Development,1,Research Scientist,1,1,1,200,10,5,3,10,2,6,7,Yes
100028,Travel_Rarely,Sales,2,Sales Executive,2,0,3,200,10,2,3,9,7,4,2,No
100029,Travel_Rarely,Research & Development,3,Healthcare Representative,4,3,3,200,24,4,3,22,6,5,17,No
100030,Travel_Rarely,Sales,5,Manager,1,3,3,200,22,2,2,2,2,2,1,No
100031,Travel_Rarely,Research & Development,1,Laboratory Technician,4,4,3,200,7,3,3,1,1,0,0,No
100032,Travel_Rarely,Research & Development,2,Healthcare Representative,4,2,3,200,9,5,4,4,2,1,3,Yes
100033,Travel_Rarely,Research & Development,1,Laboratory Technician,3,1,3,200,10,5,3,10,0,1,8,No
100034,Travel_Rarely,Sales,2,Sales Representative,4,3,3,200,19,6,4,1,0,0,0,No
100035,Travel_Rarely,Research & Development,1,Research Scientist,4,2,3,200,6,2,2,2,0,2,0,Yes
100036,Travel_Rarely,Research & Development,1,Research Scientist,3,1,3,200,6,3,2,5,3,1,4,No
100037,Travel_Rarely,Sales,1,Sales Representative,3,1,3,200,3,2,3,3,2,0,2,Yes
100038,Travel_Rarely,Sales,1,Sales Representative,4,1,3,200,2,3,3,2,2,2,2,No
100039,Travel_Rarely,Research & Development,1,Research Scientist,1,9,3,200,6,3,4,1,1,0,0,Yes
100040,Travel_Frequently,Sales,2,Sales Executive,1,2,3,200,10,3,3,5,3,1,3,No
100041,Travel_Rarely,Research & Development,1,Laboratory Technician,4,1,3,200,1,3,3,1,0,0,0,No
100042,Travel_Rarely,Research & Development,1,Laboratory Technician,1,1,3,200,1,6,3,1,0,0,0,No
100043,Travel_Rarely,Research & Development,1,Laboratory Technician,3,1,3,200,1,2,2,1,0,0,1,No
100044,Travel_Frequently,Sales,3,Sales Executive,3,1,3,200,9,0,3,9,8,1,7,No
100045,Travel_Frequently,Research & Development,2,Laboratory Technician,4,1,4,200,12,2,3,12,8,3,7,No
100046,Travel_Rarely,Research & Development,5,Research Director,3,1,3,200,23,0,3,22,15,15,8,No
100047,Non-Travel,Sales,2,Sales Executive,3,0,4,200,10,2,3,9,5,8,7,No
100048,Travel_Rarely,Research & Development,1,Research Scientist,2,4,4,200,8,1,3,1,0,0,0,No
100049,Travel_Frequently,Sales,2,Sales Executive,4,4,4,200,14,4,3,9,6,0,8,Yes
100050,Travel_Rarely,Research & Development,1,Laboratory Technician,4,1,3,200,1,2,3,1,0,0,1,No
100051,Travel_Rarely,Research & Development,3,Laboratory Technician,3,9,3,200,23,2,3,1,0,0,0,Yes
100052,Travel_Rarely,Research & Development,1,Laboratory Technician,3,1,3,200,2,3,2,2,2,2,2,Yes
100053,Travel_Rarely,Sales,2,Sales Executive,1,5,4,200,9,2,2,4,3,1,3,Yes
100053,Travel_Rarely,Sales,2,Sales Executive,1,4,4,200,9,2,2,4,3,1,3,Yes
100054,Non-Travel,Research & Development,3,Healthcare Representative,1,2,3,200,10,3,3,4,0,2,3,Yes
100055,Travel_Rarely,Sales,2,Sales Executive,4,7,3,200,5,2,2,2,2,0,0,Yes
100056,Travel_Frequently,Research & Development,3,Research Director,4,1,3,200,15,1,3,15,14,8,12,Yes
100057,Travel_Frequently,Sales,3,Sales Executive,1,1,4,200,9,3,2,9,8,1,8,No
100058,Travel_Rarely,Research & Development,1,Laboratory Technician,1,3,3,200,4,3,3,2,2,2,2,Yes
100059,Travel_Rarely,Research & Development,2,Laboratory Technician,4,3,4,200,10,3,2,7,7,1,7,No
100060,Travel_Rarely,Research & Development,2,Manufacturing Director,3,1,3,200,7,2,4,7,5,0,7,No
100061,Travel_Rarely,Research & Development,2,Manufacturing Director,4,1,4,200,9,3,3,9,8,7,8,Yes
100062,Travel_Frequently,Research & Development,2,Laboratory Technician,4,1,3,200,10,2,3,10,3,9,9,No
100063,Travel_Rarely,Research & Development,5,Research Director,3,5,3,200,29,2,2,27,3,13,8,Yes
100064,Travel_Rarely,Sales,3,Sales Executive,1,7,1,200,28,3,2,21,16,7,9,No
100065,Travel_Rarely,Research & Development,3,Healthcare Representative,3,1,3,200,17,2,3,17,14,12,8,No
100066,Travel_Rarely,Research & Development,4,Manager,3,2,3,200,21,2,3,5,0,0,2,Yes
100067,Travel_Frequently,Research & Development,2,Manufacturing Director,2,1,1,200,6,3,3,6,5,0,3,No
100068,Travel_Rarely,Research & Development,3,Research Scientist,1,2,3,200,25,2,3,1,0,0,0,No
100069,Travel_Frequently,Research & Development,1,Research Scientist,1,4,3,200,5,2,2,3,2,1,2,No
100070,Travel_Rarely,Research & Development,1,Research Scientist,3,0,3,200,2,0,2,1,0,0,0,Yes
100071,Travel_Frequently,Sales,2,Sales Executive,3,7,3,200,20,2,2,4,3,1,3,No
100072,Travel_Rarely,Research & Development,1,Research Scientist,2,0,4,200,6,3,3,5,4,0,4,No
100073,Travel_Rarely,Research & Development,1,Research Scientist,2,1,3,200,1,4,3,1,1,1,0,No
100074,Travel_Rarely,Research & Development,2,Research Scientist,2,1,3,200,10,3,3,10,4,0,9,No
100075,Travel_Rarely,Research & Development,1,Laboratory Technician,4,3,3,200,5,3,3,1,0,0,0,No
100076,Travel_Rarely,Research & Development,2,Manufacturing Director,4,1,4,200,11,2,3,11,7,1,8,No
100077,Travel_Rarely,Sales,2,Sales Executive,1,0,2,200,16,2,3,15,13,2,8,No
100078,Travel_Rarely,Research & Development,3,Research Director,1,4,3,200,17,3,4,0,0,0,0,Yes
100079,Travel_Rarely,Research & Development,3,Research Director,3,4,3,200,16,3,4,5,2,0,2,No
100080,Travel_Rarely,Human Resources,2,Human Resources,2,8,4,200,16,2,3,4,2,0,2,Yes
100081,Travel_Rarely,Research & Development,2,Laboratory Technician,4,1,3,200,10,1,2,10,8,3,0,Yes
100082,Travel_Rarely,Research & Development,1,Research Scientist,3,1,3,200,6,3,3,6,4,0,4,No
100083,Travel_Rarely,Sales,3,Sales Executive,4,3,3,200,24,4,3,1,0,1,0,No
100084,Non-Travel,Research & Development,2,Research Scientist,4,7,3,200,17,3,3,13,11,1,9,Yes
100085,Travel_Rarely,Research & Development,2,Manufacturing Director,2,1,2,200,5,2,3,5,2,1,3,No
100086,Travel_Rarely,Research & Development,3,Manufacturing Director,4,4,3,200,37,3,2,6,4,0,2,No
100087,Travel_Rarely,Sales,1,Sales Representative,1,3,3,200,3,3,3,0,0,0,0,No
100088,Travel_Rarely,Research & Development,1,Laboratory Technician,4,3,4,200,10,4,3,4,2,0,3,No
100089,Travel_Rarely,Research & Development,2,Healthcare Representative,4,1,3,200,11,3,3,11,10,10,8,No
100090,Travel_Rarely,Sales,3,Sales Executive,4,1,3,200,9,3,3,9,8,4,7,No
100091,Travel_Frequently,Research & Development,4,Healthcare Representative,2,1,2,200,22,3,2,22,3,11,11,No
100092,Travel_Rarely,Sales,2,Sales Executive,4,0,4,200,11,2,1,10,7,1,0,Yes
100093,Travel_Rarely,Sales,2,Sales Executive,2,1,3,200,11,4,2,11,8,2,7,Yes
100094,Travel_Frequently,Research & Development,3,Healthcare Representative,1,2,2,200,21,5,2,10,9,9,5,Yes
100095,Travel_Rarely,Sales,2,Sales Executive,3,1,3,200,12,0,3,11,8,5,7,No
100096,Travel_Rarely,Research & Development,3,Research Director,3,9,3,200,16,5,1,4,3,0,3,No
100097,Travel_Rarely,Sales,2,Sales Executive,3,0,4,200,4,2,2,3,2,0,2,No
100098,Non-Travel,Sales,2,Sales Executive,3,1,3,200,5,3,4,5,4,0,4,No
100099,Travel_Rarely,Sales,4,Sales Executive,3,0,3,200,38,1,2,37,10,1,8,No
100100,Non-Travel,Research & Development,2,Laboratory Technician,2,4,3,200,17,3,4,3,2,1,2,No
100101,Travel_Rarely,Human Resources,1,Human Resources,1,4,4,200,7,3,3,3,2,0,2,Yes
100102,Travel_Rarely,Research & Development,1,Research Scientist,1,1,1,200,1,2,3,1,0,0,0,No
100103,Travel_Frequently,Research & Development,1,Laboratory Technician,4,1,3,200,1,5,3,1,0,1,0,Yes
100104,Travel_Rarely,Research & Development,2,Research Scientist,3,1,3,200,16,3,3,16,13,2,10,No
100105,Non-Travel,Research & Development,2,Healthcare Representative,4,5,3,200,17,2,4,1,0,0,0,No
100106,Non-Travel,Human Resources,5,Manager,4,9,4,200,30,3,3,3,2,2,2,No
100107,Travel_Frequently,Research & Development,5,Research Director,2,3,3,200,28,1,2,8,3,0,7,Yes
100108,Travel_Rarely,Sales,2,Sales Executive,3,1,3,200,6,1,3,6,4,0,3,Yes
100108,Travel_Rarely,Sales,2,Sales Executive,2,1,3,200,6,1,3,6,4,0,3,Yes
100109,Travel_Rarely,Research & Development,1,Research Scientist,4,1,3,200,2,2,3,2,2,2,1,No
100110,Travel_Rarely,Research & Development,1,Laboratory Technician,4,1,3,200,1,5,3,0,0,0,0,No
100111,Travel_Frequently,Research & Development,3,Healthcare Representative,1,3,2,200,23,1,2,13,12,12,8,No
100112,Travel_Frequently,Research & Development,2,Laboratory Technician,3,1,4,200,9,3,3,9,7,0,6,Yes
100113,Non-Travel,Human Resources,4,Manager,4,2,3,200,23,3,3,5,3,4,4,Yes
100114,Travel_Rarely,Research & Development,1,Laboratory Technician,3,0,3,200,6,2,3,5,3,1,2,No
100115,Travel_Rarely,Research & Development,2,Research Scientist,2,6,3,200,12,3,3,1,0,0,0,No
100116,Travel_Rarely,Sales,3,Sales Executive,4,2,3,200,12,3,3,5,3,1,3,No
100117,Travel_Rarely,Research & Development,3,Manager,1,2,3,200,14,6,3,11,10,5,8,No
100118,Travel_Frequently,Sales,3,Sales Executive,4,0,3,200,10,6,3,9,7,2,8,No
100119,Travel_Rarely,Research & Development,1,Laboratory Technician,4,5,4,200,7,2,3,1,0,0,0,No
100120,Travel_Frequently,Sales,4,Manager,4,1,3,200,25,3,4,25,12,4,12,Yes
100121,Travel_Frequently,Research & Development,1,Research Scientist,3,1,4,200,10,2,2,10,7,0,9,No
100122,Non-Travel,Sales,2,Sales Executive,2,0,3,200,8,2,4,7,7,0,7,No
100123,Travel_Rarely,Research & Development,1,Research Scientist,2,9,3,200,7,2,3,5,4,4,3,Yes
100124,Travel_Rarely,Research & Development,5,Research Director,3,7,3,200,23,5,3,20,18,15,15,No
100125,Travel_Rarely,Sales,2,Sales Executive,3,4,3,200,12,3,2,7,7,7,7,Yes
100126,Travel_Rarely,Research & Development,1,Research Scientist,2,1,2,200,5,3,2,5,4,4,3,No
100127,Travel_Rarely,Research & Development,3,Healthcare Representative,4,1,3,200,40,3,2,40,10,15,6,No
100128,Travel_Rarely,Sales,1,Sales Representative,3,1,3,200,0,2,2,0,0,0,0,Yes
100129,Travel_Rarely,Research & Development,1,Laboratory Technician,4,0,3,200,3,2,3,2,1,2,1,No
100130,Travel_Rarely,Research & Development,2,Manufacturing Director,1,1,2,200,16,2,2,15,11,5,11,No
100131,Travel_Frequently,Research & Development,1,Research Scientist,3,4,3,200,18,2,3,3,2,1,2,No
100132,Travel_Frequently,Sales,3,Sales Executive,4,4,3,200,16,3,3,2,2,2,1,No
100133,Travel_Rarely,Sales,2,Sales Executive,3,3,3,200,4,2,3,2,2,2,2,Yes
100134,Travel_Rarely,Sales,3,Sales Executive,3,3,3,200,12,2,3,9,7,0,7,Yes
100135,Travel_Rarely,Human Resources,1,Human Resources,3,1,4,200,8,3,3,8,7,5,7,No
100136,Travel_Rarely,Research & Development,2,Manufacturing Director,2,6,4,200,7,0,3,3,2,0,1,No
100137,Travel_Frequently,Research & Development,3,Manufacturing Director,4,2,3,200,18,2,3,4,2,0,3,No
100138,Travel_Rarely,Sales,2,Sales Executive,3,4,3,200,17,1,4,15,11,5,9,No
100139,Travel_Rarely,Sales,2,Sales Executive,3,2,3,200,6,3,3,2,2,2,2,No
100140,Travel_Rarely,Human Resources,2,Human Resources,4,0,3,200,12,2,1,11,9,4,7,Yes
100141,Travel_Rarely,Research & Development,1,Laboratory Technician,1,7,4,200,10,2,4,5,4,0,4,No
100142,Travel_Rarely,Research & Development,1,Research Scientist,4,5,3,200,9,2,2,6,5,0,3,No
100143,Travel_Rarely,Research & Development,2,Research Scientist,3,3,4,200,19,2,3,3,2,2,2,Yes
100144,Travel_Rarely,Research & Development,1,Research Scientist,3,1,3,200,5,4,2,5,4,0,4,No
100145,Travel_Frequently,Sales,2,Sales Executive,4,0,3,200,9,2,4,8,7,0,7,No
100145,Travel_Frequently,Sales,2,Sales Executive,4,0,3,200,9,2,4,8,7,0,7,No
100146,Travel_Rarely,Research & Development,1,Research Scientist,1,5,3,200,8,3,3,3,2,2,2,No
100147,Travel_Rarely,Research & Development,1,Laboratory Technician,4,0,3,200,6,3,3,5,3,1,2,No
100148,Travel_Frequently,Research & Development,4,Manager,1,4,1,200,21,2,2,7,6,7,7,No
100149,Travel_Rarely,Research & Development,1,Laboratory Technician,1,2,4,200,7,2,3,5,0,1,4,No
100150,Travel_Rarely,Research & Development,1,Laboratory Technician,2,1,2,200,1,3,3,1,0,0,0,No
100151,Travel_Frequently,Research & Development,2,Research Scientist,2,1,3,200,20,2,3,20,7,2,13,No
100152,Travel_Rarely,Sales,3,Sales Executive,2,1,3,200,10,3,3,10,8,0,6,No
100153,Travel_Rarely,Sales,2,Sales Representative,3,2,4,200,13,3,1,7,7,4,5,Yes
100154,Travel_Rarely,Research & Development,2,Laboratory Technician,2,8,3,200,20,2,1,17,9,0,15,No
100155,Travel_Frequently,Sales,3,Sales Executive,4,1,3,200,9,2,3,9,8,3,7,No
100156,Non-Travel,Research & Development,2,Manufacturing Director,3,1,3,200,10,1,3,10,7,0,9,No
