"EmpId","Attrition","StandardHours","HourlyRate","MonthlyIncome","PercentSalaryHike","StockOptionLevel","Age","DistanceFromHome","Education","EducationField","Gender","MaritalStatus","BusinessTravel","Department","JobLevel","JobRole","JobSatisfaction","NumCompaniesWorked","PerformanceRating","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","OverTime","MonthlyIncomeBins","EducationBins","JobSatisfactionBins","WorkLifeBalanceBins"
100001,"Yes",200,30,5993,11,0,41,1,2,"Life Sciences","Female","Single","Travel_Rarely","Sales","2","Sales Executive","4",8,"3",8,"0","1",6,4,0,5,"Yes","5K-8K","College","Very High","Bad"
100002,"No",200,26,5130,23,1,49,8,1,"Life Sciences","Male","Married","Travel_Frequently","Research & Development","2","Research Scientist","2",1,"4",10,"3","3",10,7,1,7,"No","5K-8K","Below College","Medium","Better"
100003,"Yes",200,10,2090,15,0,37,2,2,"Other","Male","Single","Travel_Rarely","Research & Development","1","Laboratory Technician","3",6,"3",7,"3","3",0,0,0,0,"Yes","0-3K","College","High","Better"
100004,"No",200,15,2909,11,0,33,3,4,"Life Sciences","Female","Married","Travel_Frequently","Research & Development","1","Research Scientist","3",1,"3",8,"3","3",8,7,3,0,"Yes","0-3K","Masters","High","Better"
100005,"No",200,17,3468,12,1,27,2,1,"Medical","Male","Married","Travel_Rarely","Research & Development","1","Laboratory Technician","2",9,"3",6,"3","3",2,2,2,2,"No","3K-5K","Below College","Medium","Better"
100006,"No",200,15,3068,13,0,32,2,2,"Life Sciences","Male","Single","Travel_Frequently","Research & Development","1","Laboratory Technician","4",0,"3",8,"2","2",7,7,3,6,"No","3K-5K","College","Very High","Good"
100007,"No",200,13,2670,20,3,59,3,3,"Medical","Female","Married","Travel_Rarely","Research & Development","1","Laboratory Technician","1",4,"4",12,"3","2",1,0,0,0,"Yes","0-3K","Bachelor","Low","Good"
100008,"No",200,13,2693,22,1,30,24,1,"Life Sciences","Male","Divorced","Travel_Rarely","Research & Development","1","Laboratory Technician","3",1,"4",1,"2","3",1,0,0,0,"No","0-3K","Below College","High","Better"
100009,"No",200,48,9526,21,0,38,23,3,"Life Sciences","Male","Single","Travel_Frequently","Research & Development","3","Manufacturing Director","3",0,"4",10,"2","3",9,7,1,8,"No","8K-12K","Bachelor","High","Better"
100010,"No",200,26,5237,13,2,36,27,3,"Medical","Male","Married","Travel_Rarely","Research & Development","2","Healthcare Representative","3",6,"3",17,"3","2",7,7,7,7,"No","5K-8K","Bachelor","High","Good"
100011,"No",200,12,2426,13,1,35,16,3,"Medical","Male","Married","Travel_Rarely","Research & Development","1","Laboratory Technician","2",0,"3",6,"5","3",5,4,0,3,"No","0-3K","Bachelor","Medium","Better"
100012,"No",200,21,4193,12,0,29,15,2,"Life Sciences","Female","Single","Travel_Rarely","Research & Development","2","Laboratory Technician","3",0,"3",10,"3","3",9,5,0,8,"Yes","3K-5K","College","High","Better"
100013,"No",200,15,2911,17,1,31,26,1,"Life Sciences","Male","Divorced","Travel_Rarely","Research & Development","1","Research Scientist","3",1,"3",5,"1","2",5,2,4,3,"No","0-3K","Below College","High","Good"
100014,"No",200,13,2661,11,1,34,19,2,"Medical","Male","Divorced","Travel_Rarely","Research & Development","1","Laboratory Technician","4",0,"3",3,"2","3",2,2,1,2,"No","0-3K","College","Very High","Better"
100015,"Yes",200,32.5483651226158,6677.14986376022,14,0,28,24,3,"Life Sciences","Male","Single","Travel_Rarely","Research & Development","1","Laboratory Technician","3",5,"3",6,"4","3",4,2,0,3,"Yes","5K-8K","Bachelor","High","Better"
100016,"No",200,50,9980,11,1,29,21,4,"Life Sciences","Female","Divorced","Travel_Rarely","Research & Development","3","Manufacturing Director","1",1,"3",10,"1","3",10,9,8,8,"No","8K-12K","Masters","Low","Better"
100017,"No",200,16,3298,12,2,32,5,2,"Life Sciences","Male","Divorced","Travel_Rarely","Research & Development","1","Research Scientist","2",0,"3",7,"5","2",6,2,0,5,"Yes","3K-5K","College","Medium","Good"
100018,"No",200,15,2935,13,2,22,16,2,"Medical","Male","Divorced","Non-Travel","Research & Development","1","Laboratory Technician","3",1,"3",1,"2","2",1,0,0,0,"Yes","0-3K","College","High","Good"
100019,"No",200,77,154270,16,0,53,2,4,"Life Sciences","Female","Married","Travel_Rarely","Sales","4","Manager","4",2,"3",31,"3","3",25,8,3,7,"No","12K+","Masters","Very High","Better"
100020,"No",200,20,3944,11,0,38,2,3,"Life Sciences","Male","Single","Travel_Rarely","Research & Development","1","Research Scientist","4",5,"3",6,"3","3",3,2,1,2,"Yes","3K-5K","Bachelor","Very High","Better"
100021,"No",200,20,4011,18,1,24,11,2,"Other","Female","Divorced","Non-Travel","Research & Development","2","Manufacturing Director","3",0,"3",5,"5","2",4,2,1,3,"No","3K-5K","College","High","Good"
100022,"Yes",200,17,3407,23,0,36,9,4,"Life Sciences","Male","Single","Travel_Rarely","Sales","1","Sales Representative","1",7,"4",10,"4","3",5,3,0,3,"No","3K-5K","Masters","Low","Better"
100023,"No",200,60,119940,11,0,34,7,4,"Life Sciences","Female","Single","Travel_Rarely","Research & Development","3","Research Director","2",0,"3",13,"4","3",12,6,2,11,"No","12K+","Masters","Medium","Better"
100024,"No",200,6,1232,14,0,21,15,2,"Life Sciences","Male","Single","Travel_Rarely","Research & Development","1","Research Scientist","4",1,"3",0,"6","3",0,0,0,0,"No","0-3K","College","Very High","Better"
100025,"Yes",200,15,2960,11,0,34,6,1,"Medical","Male","Single","Travel_Rarely","Research & Development","1","Research Scientist","1",2,"1",8,"2","3",4,2,1,3,"No","0-3K","Below College","Low","Better"
100026,"No",200,95,19094,11,1,53,5,3,"Other","Female","Divorced","Travel_Rarely","Research & Development","5","Manager","3",4,"3",26,"3","2",14,13,4,8,"No","12K+","Bachelor","High","Good"
100027,"Yes",200,20,3919,22,0,32,16,1,"Life Sciences","Female","Single","Travel_Frequently","Research & Development","1","Research Scientist","1",1,"1",10,"5","3",10,2,6,7,"Yes","3K-5K","Below College","Low","Better"
100028,"No",200,34,6825,11,1,42,8,4,"Marketing","Male","Married","Travel_Rarely","Sales","2","Sales Executive","2",0,"3",10,"2","3",9,7,4,2,"No","5K-8K","Masters","Medium","Better"
100029,"No",200,51,10248,14,1,44,7,4,"Medical","Female","Married","Travel_Rarely","Research & Development","3","Healthcare Representative","4",3,"3",24,"4","3",22,6,5,17,"No","8K-12K","Masters","Very High","Better"
100030,"No",200,95,18947,12,0,46,2,4,"Marketing","Female","Single","Travel_Rarely","Sales","5","Manager","1",3,"3",22,"2","2",2,2,2,1,"No","12K+","Masters","Low","Good"
100031,"No",200,12,2496,11,0,33,2,3,"Medical","Male","Single","Travel_Rarely","Research & Development","1","Laboratory Technician","4",4,"3",7,"3","3",1,1,0,0,"No","0-3K","Bachelor","Very High","Better"
